System,FountainType,Position,Painted,GISPropNum,PropName,OMPPropID,Borough,FountainCount,Department,District,FeatureStatus,Point
M098-DF0608,E,"In Shade, Under Tree",YES,M098,Washington Square Park,M098-ZN02,M,1,M-02,E-Washington Square Park-Washington Square Park Eastern Half,Active,POINT (-73.996075 40.73048)
M005-DF0597,E and Dog,"Under Tree, In Shade",YES,M005,The Battery,M005-ZN01,M,2,M-01,E and Dog-The Battery-Battery Park Zone 1,Active,POINT (-74.016268 40.704375)
M010-DF0571,B,Out in Open,NO,M010,Central Park,M010-ZN02+4,M,1,M-13,B-Central Park-Hallett Nature Sanctuary And Pond,Active,POINT (-73.975957 40.767597)
Q343-DF0064,D,"In Playground, Out in Open",NO,Q343,Whitestone Playground,Q343,Q,1,Q-07,D-Whitestone Playground,Active,POINT (-73.808426 40.791887)
M108T-DF0640,Bottle Filler High Low,In Shade,NO,M108T,East River Walk,M108T-ZN05,M,3,M-15,Bottle Filler High Low-East River Walk-East River Esplanade Zone 5,Active,POINT (-73.951872 40.76508)
M208D-DF0418,B,Near Ballfield,NO,M208D,Harlem River Park,M208D-01,M,1,M-11,B-Harlem River Park-Each One Teach One,Active,POINT (-73.934604 40.806853)
M010-DF0629,E,Out in Open,YES,M010,Central Park,M010-ZN32,M,1,M-13,E-Central Park-Reservoir (Southeast),Active,POINT (-73.959181 40.784111)
Q211-DF0725,C,In Playground,NO,Q211,Maple Playground,Q211,Q,1,Q-07,C-Maple Playground,Active,POINT (-73.825958 40.755997)
B164-DF0625,E,Out in Open,YES,B164,Bath Beach Park,B164,B,1,B-11,E-Bath Beach Park,Active,POINT (-74.011526 40.602363)
Q099-DF1026,Indoor Drinking Fountain,Indoor,,Q099,Flushing Meadows Corona Park,Q099-BLG0330,Q,1,Q-15,Indoor Fountain-Flushing Meadows Corona Park-Passarelle Building,Active,POINT (-73.842962 40.75167)
M010-DF1058,Indoor Drinking Fountain,Indoor,,M010,Central Park,M010-ZN27-BLG0682,M,1,M-13,Indoor Drinking Fountain-Central Park-86TH Street Shops,Active,POINT (-73.965843 40.783793)
M047-DF0408,B,Near Ballfield,NO,M047,Thomas Jefferson Park,M047,M,1,M-11,B-Thomas Jefferson Park,Active,POINT (-73.935168 40.792596)
M190-DF0488,C,In Playground,NO,M190,Sheltering Arms Playground,M190,M,1,M-09,C-Sheltering Arms Playground,Active,POINT (-73.955922 40.815334)
M082-DF0213,E,"Near Ballfield, Just Outside Playground, Under Tree",YES,M082,Seward Park,M082,M,1,M-03,E-Seward Park,Active,POINT (-73.989358 40.715187)
Q310-DF0118,C,Just Outside Playground,NO,Q310,Glen Oaks Oval,Q310,Q,1,Q-13,C-Glen Oaks Oval,Active,POINT (-73.71613 40.749697)
Q448-DF0113,A,Just Outside Playground,NO,Q448,Roy Wilkins Recreation Center,Q448-01,Q,1,Q-12,A-Roy Wilkins Recreation Center-Nautilus Playground,Active,POINT (-73.770289 40.684653)
Q390-DF0744,D,Under Tree,NO,Q390,Clintonville Playground,Q390,Q,1,Q-07,D-Clintonville Playground,Active,POINT (-73.806859 40.783041)
Q305-DF0550,A,Near Ballfield,NO,Q305,Mafera Park,Q305,Q,1,Q-05,A-Mafera Park,Active,POINT (-73.891451 40.706296)
B058-DF0219,Bottle Filler High Low,"Under Tree, Near Ballfield",NO,B058,McCarren Park,B058-ZN02,B,3,B-01,Bottle Filler High Low-McCarren Park-McCarren Park Zone 2,Active,POINT (-73.952001 40.719394)
B169-DF1062,Slop Sink,Indoor,,B169,Coney Island Beach & Boardwalk,B169-ZN07A-BLG1145,B,1,B-13,Slop Sink-Coney Island Beach & Boardwalk-W 27 St Comfort,Active,POINT (-73.992297 40.571648)
X010-DF0329,A,"Out in Open, In Playground",NO,X010,Crotona Park,X010-05,X,1,X-03,A-Crotona Park-Hill & Dale Playground,Active,POINT (-73.890444 40.837329)
M030-DF0437,E,Out in Open,YES,M030,Thomas Paine Park,M030,M,1,M-01,E-Thomas Paine Park,Active,POINT (-74.001884 40.714877)
Q099-DF0236,A,Under Tree,YES,Q099,Flushing Meadows Corona Park,Q099-ZN07,Q,1,Q-15,A-Flushing Meadows Corona Park-Festival Sq & Garden Of Meditation,Active,POINT (-73.842298 40.743549)
M010-DF0583,E and Dog,Near Ballfield,YES,M010,Central Park,M010-ZN06,M,2,M-13,E and Dog-Central Park-Heckscher Ballfields & Playground,Active,POINT (-73.978009 40.769864)
B073-DF0856,E,"In Playground, Under Tree, In Shade",YES,B073,Prospect Park,B073-20,B,1,B-19,E-Prospect Park-Harmony Playground,Active,POINT (-73.976657 40.663667)
B073-DF0909,B,In Playground,,B073,Prospect Park,B073-02,B,1,B-19,B-Prospect Park-Third St Plgd,Active,POINT (-73.972959 40.667047)
B216-DF0116,CS Concrete,In Playground,YES,B216,Raymond Bush Playground,B216,B,1,B-03,CS Concrete-Raymond Bush Playground,Active,POINT (-73.939439 40.68659)
M010-DF0651,B,"In Playground, Out in Open",NO,M010,Central Park,M010-ZN36,M,1,M-13,B-Central Park-North Meadow Recreation Center,Active,POINT (-73.959348 40.79099)
R005-DF0163,A,Near Ballfield,NO,R005,Clove Lakes Park,R005-ZN01,R,1,R-01,A-Clove Lakes Park-Clove Lakes Park Zone 1,Active,POINT (-74.11357 40.614038)
Q349-DF0619,D,In Playground,NO,Q349,Telephone Playground,Q349,Q,1,Q-11,D-Telephone Playground,Active,POINT (-73.756455 40.738507)
Q066C-DF0858,Other,Out_in_Open,,Q066C,Triborough Bridge Playground C,Q066C,Q,1,Q-01,Other-Triborough Bridge Playground C,Active,POINT (-73.92222 40.773765)
R035-DF0176,E High Low,,,R035,De Matti Park,R035,R,2,R-01,E High Low-De Matti Park,Active,POINT (-74.073722 40.61493)
Q015-DF0008,A,In Shade,YES,Q015,Forest Park,Q015-ZN04,Q,1,Q-16,A-Forest Park-Victory Field,Active,POINT (-73.853145 40.701403)
M161-DF1007,Slop Sink,Indoor,,M161,McCaffrey Playground,M161-BLG0647,M,1,M-04,Slop Sink-McCaffrey Playground-Comfort Station,Active,POINT (-73.991388 40.75915)
Q007-DF0239,D,In Playground,YES,Q007,Bayswater Park,Q007-01,Q,1,Q-14,D-Bayswater Park-Bayswater Playground,Active,POINT (-73.76681 40.599037)
B113A-DF1074,Indoor Drinking Fountain,Indoor,,B113A,Cadman Plaza Park,B113A-BLG1006,B,1,B-02,Indoor Drinking Fountain-Cadman Plaza Park-BROOKLYN WAR,Active,POINT (-73.990626 40.698443)
B252-DF0369,E,"Out in Open, Near Ballfield",NO,B252,West Playground,B252,B,1,B-13,E-West Playground,Active,POINT (-73.970065 40.587477)
Q393A-DF0173,D,Near Ballfield,NO,Q393A,LaGuardia Landing Lights,Q393A,Q,1,Q-03,D-LaGuardia Landing Lights,Active,POINT (-73.890206 40.762016)
M029-DF0892,Stone,,,M029,Fort Tryon Park,M029-ZN01,M,1,M-12,Stone-Fort Tryon Park-Fort Tryon Park Zone 1,Active,POINT (-73.93309 40.863184)
B042-DF0682,C,"Out in Open, Just Outside Playground",NO,B042,Gravesend Park,B042,B,1,B-12,C-Gravesend Park,Active,POINT (-73.98431 40.624135)
R061-DF0069,A,Near Ballfield,NO,R061,Rev. Dr. Maggie Howard Playground,R061,R,1,R-01,A-Stapleton Playground,Active,POINT (-74.079247 40.62326)
Q051-DF0305,C,Out in Open,NO,Q051,Archie Spigner Park,Q051,Q,1,Q-12,C-St. Albans Park,Active,POINT (-73.778143 40.693089)
B167-DF0482,C,"In Playground, Under Tree",NO,B167,La Guardia Playground,B167,B,1,B-01,C-La Guardia Playground,Active,POINT (-73.959841 40.710527)
R038-DF0061,A,"Near Ballfield, In Playground",YES,R038,Midland Playground,R038,R,1,R-02B,A-Midland Playground,Active,POINT (-74.098919 40.575321)
X266-DF0352,D,"Under Tree, In Playground",NO,X266,Vidalia Park,X266,X,1,X-06,D-Vidalia Park,Active,POINT (-73.881439 40.844187)
M186-DF0537,D,Near Ballfield,YES,M186,Brigadier General Charles Young Playground,M186,M,1,M-10,D-Brigadier General Charles Young Playground,Active,POINT (-73.935441 40.81875)
B260A-DF1132,Indoor Drinking Fountain,"Attached to Building, On Pool Deck",,B260A,Howard Pool,B260A,B,1,B-16,Indoor Drinking Fountain-Howard Pool,Active,POINT (-73.909138 40.672733)
Q163-DF0428,Trough,Out in Open,NO,Q163,Rockaway Beach Boardwalk,Q163-ZN07B,Q,1,Q-14,Trough-Rockaway Beach Boardwalk-Rockaway Beach 07b,Active,POINT (-73.826195 40.580423)
Q012-DF0138,C,Out in Open,NO,Q012,Crocheron Park,Q012-ZN01,Q,1,Q-07A,C-Crocheron Park-Crocheron Park Zone 1,Active,POINT (-73.769243 40.771974)
