InspectionID,PRNumber,PR Overall Condition,PR Litter,PR Graffiti,PR Amenities,PR Structural
184752,1,N,A,N,A,N
184754,1,N,U,N,A,N
184756,1,N,A,N,A,N
184757,1,N,A,N,A,N
184726,1,A,A,A,A,A
184730,1,A,A,A,A,A
184732,1,A,A,A,A,A
184735,1,U,A,A,A,U/S
184737,1,N,N,N,N,N
184741,1,A,A,A,A,A
184747,1,A,A,A,A,U
184748,1,A,A,A,A,A
184684,1,A,A,A,U,A
184687,1,A,A,A,A,A
184699,1,A,A,A,A,A
184708,1,A,A,A,A,A
184711,1,A,A,A,A,A
184712,1,A,A,A,A,A
184716,1,A,A,A,A,A
184718,1,N,N,N,N,N
184721,1,N,N,N,N,N
184666,1,A,A,A,A,A
184672,1,A,A,A,A,A
184673,1,A,A,A,A,A
184675,1,N,N,N,N,N
184676,1,A,A,A,A,A
184677,1,A,A,A,A,A
184620,1,N,N,N,N,N
184643,1,N,N,N,N,N
184646,1,A,A,A,A,A
184575,1,N,A,N,A,N
184576,1,A,A,A,A,A
184579,1,N,A,N,A,N
184581,1,N,A,N,A,N
184581,2,N,A,N,A,N
184583,1,N,N,N,N,N
184584,1,A,A,A,A,A
184589,1,A,A,A,A,A
184590,1,A,A,A,A,A
184595,1,A,A,A,A,A
184596,1,A,A,A,A,A
184599,1,N,A,N,A,N
184601,1,N,A,N,A,N
184604,1,N,A,N,A,N
184606,1,N,N,N,N,N
184611,1,A,A,A,A,A
184566,1,N,A,N,U,N
184569,1,N,N,N,N,N
184563,1,N,N,N,N,N
184564,1,N,A,N,A,N
184565,1,N,A,N,A,N
184537,1,A,A,A,A,U
184548,1,A,A,A,A,A
184551,1,A,A,A,A,A
184552,1,A,A,A,A,A
184554,1,A,A,A,A,A
184557,1,U,A,A,A,U/S
184559,1,A,A,A,A,A
184560,1,A,A,A,A,A
184562,1,A,A,A,A,A
184527,1,A,A,A,A,U
184528,1,A,A,A,A,A
184529,1,A,A,A,A,A
184530,1,A,A,A,A,A
184530,2,A,A,A,A,A
184532,1,N,N,N,N,N
184487,1,A,A,A,A,A
184491,1,A,A,A,A,A
184492,1,A,A,A,A,A
184493,1,A,A,A,A,A
184500,1,A,A,A,A,A
184504,1,N,N,N,N,N
184511,1,A,A,A,A,A
184512,1,N,N,N,N,N
184513,1,A,A,A,U,A
184514,1,N,N,N,N,N
184515,1,A,A,A,A,A
184521,1,A,A,A,A,A
184525,1,N,N,N,N,N
184462,1,A,A,A,A,A
184462,2,N,N,N,N,N
184470,1,A,A,A,A,A
184475,1,A,A,A,A,A
184481,1,A,A,A,A,A
184483,1,A,A,A,A,A
184485,1,A,A,A,A,A
184424,1,N,A,N,A,N
184425,1,N,A,N,U,N
184426,1,N,A,N,A,N
184427,1,N,A,N,A,N
184427,2,N,A,N,U,N
184428,1,A,A,A,A,A
184432,1,A,A,A,A,A
184436,1,A,A,A,A,A
184442,1,A,A,A,A,A
184443,1,A,A,A,A,A
184444,1,A,A,A,A,A
184445,1,U,A,A,U,U
184446,1,A,A,A,U,A
184451,1,A,A,A,A,A
184458,1,A,A,A,A,A
184461,1,A,A,A,A,A
184413,1,N,A,N,A,N
184414,1,N,A,N,A,N
184417,1,N,A,N,A,N
184418,1,N,A,N,A,N
184420,1,N,A,N,A,N
184421,1,N,A,N,A,N
184421,2,N,U/S,N,A,N
184422,1,N,A,N,U,N
184398,1,A,A,A,A,A
184399,1,A,A,A,A,A
184400,1,U,A,A,A,A
184402,1,A,A,A,A,A
184402,2,N,N,N,N,N
184406,1,A,A,A,A,A
184407,1,A,A,A,A,A
184410,1,A,A,A,A,A
184411,1,A,A,A,A,A
184388,1,A,A,A,A,A
184369,1,N,A,N,A,N
184373,1,N,A,N,A,N
184373,2,N,A,N,A,N
184377,1,N,A,N,A,N
184366,1,N,U,N,A,N
184367,1,N,A,N,A,N
184359,1,N,A,N,A,N
184361,1,N,A,N,A,N
184362,1,N,N,N,N,N
184363,1,N,A,N,A,N
184364,1,N,A,N,A,N
184365,1,N,A,N,A,N
184330,1,N,N,N,N,N
184336,1,A,A,A,A,A
184339,1,A,A,A,A,A
184340,1,A,A,A,A,A
184343,1,A,A,A,A,A
184345,1,A,A,A,A,A
184311,1,A,A,A,A,A
184316,1,A,A,A,A,A
184317,1,U,N,N,N,N
184318,1,A,A,A,A,A
184324,1,A,A,A,A,U
184326,1,N,N,N,N,N
184285,1,A,A,A,A,A
184296,1,A,A,A,A,A
184297,1,A,A,A,U,A
184300,1,A,A,A,A,A
184266,1,A,N,N,N,N
184269,1,A,A,A,A,A
184270,1,A,A,A,A,A
184272,1,A,A,A,A,A
184273,1,A,A,A,A,A
184274,1,A,A,A,A,A
184276,1,A,A,A,A,A
184279,1,A,A,A,A,A
184281,1,A,A,A,A,A
184284,1,A,A,A,A,A
184230,1,A,A,U,A,A
184231,1,A,A,A,A,A
184235,1,A,A,A,A,A
184237,1,A,A,A,A,A
184240,1,A,A,A,A,A
184242,1,A,A,A,A,A
184246,1,A,A,A,A,U
184248,1,U,U,A,U,A
184254,1,A,A,A,A,A
184255,1,A,U,A,A,A
184256,1,A,A,A,U,A
184258,1,A,A,A,A,A
184211,1,A,A,A,A,A
184212,1,A,A,A,A,A
184214,1,A,A,A,A,A
184216,1,A,A,A,A,A
184220,1,A,A,A,A,A
184224,1,U,A,A,U,U
184224,2,U,A,A,U,U
184179,1,A,A,A,A,A
184180,1,A,A,A,A,A
184183,1,A,A,A,A,A
184192,1,A,A,A,A,A
184193,1,A,A,A,A,A
