name,maintenance_funding,designated_private_funding,acreage,amenities,borough,athletic_facilities,beaches,comfort_stations,natural_areas,playgrounds,trails
Franz Sigel Park,74364,0,15.99,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Jones Woods Park,4472,0,16.93,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Francis Lewis Park,15587,0,16.830000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Leif Ericson Park,127347,0,16.8,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Eibs Pond Park,5783,0,16.51,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Railroad Park,8536,0,16.439999999999998,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Breukelen Ballfields,74031,0,16.16,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Mullaly Park,113374,15000,15.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Riverside Park South,85284,195201,66.69,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Alice Austen Park,23391,0,15.52,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Thomas Jefferson Park,108312,0,15.52,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Sherman Creek,19494,0,15.38,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Harris Park,58581,0,15.32,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Tremont Park,109960,0,15,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Carl Schurz Park,330542,0,14.94,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Von Briesen Park,5455,0,13.94,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Tudor Park,48642,0,13.54,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Father Macris Park,7427,0,13.47,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Grand Central Parkway,2133,0,171.2,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Jackie Robinson Park,187010,0,12.77,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
