prop_name,borough,longitude,latitude,fountain_type,feature_status,boro
Flushing Meadows Corona Park,Q,-73.845657,40.737155,D,Active,Q
Silver Lake Park,R,-74.096165,40.623028,Indoor Drinking Fountain,Active,R
Owl's Head Park,B,-74.030599,40.639905,E High Low,Active,B
Marine Park,B,-73.925537,40.593985000000004,A,Active,B
Henry Hudson Park,X,-73.919739,40.880644,D,Active,Bronx
Blood Root Valley,R,-74.139254,40.591772,Indoor Drinking Fountain,Active,R
Kissena Park,Q,-73.803254,40.748761,A,Active,Q
Red Hook Recreation Area,B,-74.003403,40.673287,A,Active,B
Fort Tryon Park,M,-73.933105,40.860843,B,Active,M
Pelham Bay Park,X,-73.788606,40.870229,A,Active,Bronx
Playground One Forty,Q,-73.800961,40.674753,A,Active,Q
Franklin D. Roosevelt Boardwalk and Beach,R,-74.090607,40.568872,A,Active,R
Howard Pool,B,-73.908935,40.672822,Indoor Drinking Fountain,Active,B
Ruppert Park,M,-73.950129,40.780982,C,Active,M
St. Nicholas Park,M,-73.951287,40.813342,A,Active,M
Mosholu Parkway,X,-73.885019,40.881912,D,Active,Bronx
Sol Lain Plgd,M,-73.983975,40.714373,CS Metal,Active,M
The High Line,M,-74.006947,40.744566,Other,Active,M
Brigadier General Charles Young Playground,M,-73.934621,40.819394,A,Active,M
Flushing Meadows Corona Park,Q,-73.848278,40.741377,A,Active,Q
Prospect Park,B,-73.965469,40.665364,Indoor Drinking Fountain,Active,B
Central Park,M,-73.96154,40.780862,CS Metal,Active,M
Ian Maclennan Garden,Q,-73.856619,40.714233,B,Active,Q
Mount Hope Garden,X,-73.905239,40.852438,F High Low,Active,Bronx
Riverside Park,M,-73.972423,40.802281,A,Active,M
Rev. T. Wendell Foster Park and Recreation Center,X,-73.924535,40.831545,E,Active,Bronx
Cunningham Park,Q,-73.769549,40.734615,A,Active,Q
Central Park,M,-73.953092,40.793554,E,Active,M
Turtle Playground,Q,-73.827725,40.742253,A,Active,Q
Pomonok Playground,Q,-73.813822,40.736582,C,Active,Q
Hunts Point Playground,X,-73.885902,40.81423,CS Metal,Active,Bronx
Amersfort Park,B,-73.938916,40.627793,E,Active,B
Vinmont Veteran Park,X,-73.904244,40.902646,D,Active,Bronx
Pearl St Playground,M,-74.003817,40.707895,E High Low,Active,M
Old Town Playground,R,-74.081492,40.595489,Bathroom Sink,Active,R
Macombs Dam Park,X,-73.931279,40.830646,A,Active,Bronx
Betsy Head Park,B,-73.912195,40.663002,Indoor Drinking Fountain,Active,B
Coney Island Boat Basin,B,-73.989854,40.581257,A,Active,B
Torsney Playground,Q,-73.922066,40.74721,CS Concrete,Active,Q
Hamilton Fish Park,M,-73.981456,40.719981,Food Prep Sink,Active,M
Sternberg Park,B,-73.947894,40.706333,A,Active,B
Jacob H. Schiff Playground,M,-73.952177,40.820346,C,Active,M
Rev J Polite Playground,X,-73.896618,40.827333,D,Active,Bronx
Harold Ickes Playground,B,-74.005865,40.6827,A,Active,B
Central Park,M,-73.965843,40.783793,Water Cooler,Active,M
Colgate Close,X,-73.881428,40.823887,B,Active,Bronx
Pelham Bay Park,X,-73.790492,40.869644,A,Active,Bronx
Gerard P. Dugan Playground,R,-74.110557,40.56094,F,Active,R
Bronx River Parkway,X,-73.873893,40.827601,Other,Active,Bronx
John V. Lindsay East River Park,M,-73.977487,40.711278,E,Active,M
Flushing Meadows Corona Park,Q,-73.845648,40.73693,D,Active,Q
Parade Ground,B,-73.966061,40.651792,A,Active,B
Central Park,M,-73.976892,40.768237,E and Dog,Active,M
Wards Island Park,M,-73.929788,40.791202,B,Active,M
Hoover - Manton Playgrounds,Q,-73.821376,40.711979,A,Active,Q
Marion Hopkinson Playground,B,-73.914007,40.681827,E,Active,B
St. James Park,X,-73.899021,40.86455,Indoor Drinking Fountain,Active,Bronx
Bronx Park,X,-73.870219,40.851082,C,Active,Bronx
Astoria Heights Playground,Q,-73.911333,40.760994,CS Metal,Active,Q
Rockaway Beach Boardwalk,Q,-73.829262,40.579661,C,Active,Q
James Weldon Johnson Playground,M,-73.941615,40.797016,F High Low,Active,M
